Key,Price
kluczyk_dorobienie,10000
tablica_custom,12000
aplikacja_transportowa,15000
przyciemnienie_szyb:0,5000
przyciemnienie_szyb:10,25000
przyciemnienie_szyb:20,30000
przyciemnienie_szyb:30,35000
przyciemnienie_szyb:40,40000
przyciemnienie_szyb:50,45000
przyciemnienie_szyb:60,50000
przyciemnienie_szyb:70,55000
przyciemnienie_szyb:80,60000
przyciemnienie_szyb:90,65000
przyciemnienie_szyb:100,70000
kolor_licznika:Brak podświetlenia,5000
kolor_licznika:Biały,15000
kolor_licznika:Marchwiowy,25000
kolor_licznika:Pomarańczowy,25000
kolor_licznika:Żółty,25000
kolor_licznika:Czerwony,35000
kolor_licznika:Niebieski,35000
kolor_licznika:Czekoladowe,35000
kolor_licznika:Lazurowy,35000
kolor_licznika:Czarny,35000
kolor_licznika:Fioletowy,35000
kolor_licznika:Aqua,35000
kolor_licznika:Miętowy,35000
kolor_licznika:Zielony,35000
kolor_licznika:Limonkowy,35000
kolor_licznika:Różowy,35000
kolor_licznika:Złoty,35000
kolor_licznika:Kiwi,35000
kolor_licznika:Pistacja,35000
kolor_licznika:Jadeitowy,40000
kolor_licznika:Purpurowy,40000
kolor_licznika:Malinowy,40000
kolor_licznika:Magenta,40000
kolor_licznika:Herbaciany,40000
kolor_licznika:Cynamonowy,40000
kolor_licznika:Ocean,45000
kolor_licznika:Lodowy,45000
kolor_licznika:Butelkowa Zieleń,45000
kolor_licznika:Ametystowy,45000
kolor_licznika:Wiśniowy,45000
kolor_licznika:Eozyna,45000
kolor_licznika:Gruszkowy,45000
kolor_licznika:Luka,45000
kolor_licznika:Różany,50000
kolor_licznika:Very Peri,50000
kolor_licznika:Rubinowy,55000
kolor_licznika:Winogronowy,55000
kolor_licznika:Oliwkowy,55000
kolor_swiatel:Biały,5000
kolor_swiatel:Xenon,10000
kolor_swiatel:Oldtimer,25000
kolor_swiatel:Marchwiowy,45000
kolor_swiatel:Pomarańczowy,45000
kolor_swiatel:Żółty,45000
kolor_swiatel:Limonka,55000
kolor_swiatel:Różowy,55000
kolor_swiatel:Niebieski,55000
kolor_swiatel:Zielony,55000
kolor_swiatel:Fioletowy,55000
kolor_swiatel:Czerwony,60000
kolor_swiatel:Lazurowy,65000
kolor_swiatel:Aqua,65000
kolor_swiatel:Miętowy,65000
kolor_swiatel:Złoty,65000
kolor_swiatel:Kiwi,65000
kolor_swiatel:Pistacja,65000
kolor_swiatel:Jadeitowy,70000
kolor_swiatel:Purpurowy,70000
kolor_swiatel:Malinowy,70000
kolor_swiatel:Magneta,70000
kolor_swiatel:Czekoladowe,70000
kolor_swiatel:Eozyna,75000
kolor_swiatel:Gruszkowy,75000
kolor_swiatel:Luka,75000
kolor_swiatel:Ocean,75000
kolor_swiatel:Lodowy,75000
kolor_swiatel:Herbaciany,75000
kolor_swiatel:Wiśniowy,80000
kolor_swiatel:Cynamonowy,80000
kolor_swiatel:Butelkowa Zieleń,80000
kolor_swiatel:Ametysowy,80000
kolor_swiatel:Różany,85000
kolor_swiatel:Very Peri,85000
kolor_swiatel:Rubinowy,90000
kolor_swiatel:Winogronowy,90000
kolor_swiatel:Oliwkowy,90000
rozmiar_felg:standardowe,0
rozmiar_felg:bardzo_male,10000
rozmiar_felg:male,12500
rozmiar_felg:duze,22500
poszerzenia_przod:0,0
poszerzenia_przod:1,8000
poszerzenia_przod:2,15000
poszerzenia_tyl:0,0
poszerzenia_tyl:1,10000
poszerzenia_tyl:2,18000
